    NRGb004 129.54791667  25.11666667 8343.0000 
    NRGs027 139.02583333  17.60222222 8683.0000 
    NRGs038 140.89583333  22.33277778 9976.0000 
    NRGs076 151.67416667  14.43027778 8988.0000 
    NRGs090 158.25875000  12.09472222 10269.0000 
    NRGs110 165.21208333  10.55472222 10470.0000 
    NRGs117 167.63083333  28.72750000 9926.0000 
    NRGb128 170.59000000  24.32805556 8306.0000 
    NRGb155 176.18583333  19.69972222 6706.0000 
    NRGb177 181.07416667  20.25500000 7279.0000 
    NRGb226 194.94708333  27.92833333 7304.0000 
    NRGb244 201.04500000  13.97972222 7245.0000 
    NRGb247 202.38000000  11.78861111 7056.0000 
    NRGs317 221.79083333  13.70638889 9208.0000 
  Abell2063 230.75780000   8.63940000 10410.0000 
